PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,MONTH
2535.00,UA,United Air Lines Inc.,IAH,SEA,888,1
2535.00,UA,United Air Lines Inc.,SFO,SLC,614,1
2536.00,WN,Southwest Airlines Co.,BOI,SMF,612,1
2536.00,WN,Southwest Airlines Co.,CLE,BWI,614,1
2539.00,AS,Alaska Airlines Inc.,SEA,IAH,888,1
2540.00,AA,American Airlines Inc.,ATL,ORD,694,1
2540.00,C5,CommuteAir LLC dba CommuteAir,IAD,ROC,675,1
2540.00,DL,Delta Air Lines Inc.,ATL,ATW,608,1
2540.00,WN,Southwest Airlines Co.,HOU,STL,614,1
2541.00,NK,Spirit Air Lines,LAS,MSP,694,1
2543.00,MQ,Envoy Air,ORD,ATL,673,1
2543.00,OO,SkyWest Airlines Inc.,MSP,SDF,638,1
2543.00,QX,Horizon Air,RNO,PDX,482,1
2544.00,NK,Spirit Air Lines,BQN,MCO,694,1
2544.00,NK,Spirit Air Lines,DTW,MIA,694,1
2544.00,UA,United Air Lines Inc.,DEN,JAX,698,1
2546.00,F9,Frontier Airlines Inc.,MCO,SYR,722,1
2546.00,NK,Spirit Air Lines,MCO,CAK,698,1
2547.00,9E,Endeavor Air Inc.,MLU,ATL,629,1
2547.00,AA,American Airlines Inc.,CLT,CLE,614,1
2547.00,MQ,Envoy Air,ATL,ORD,673,1
2547.00,WN,Southwest Airlines Co.,FLL,STL,612,1
2547.00,WN,Southwest Airlines Co.,SAT,ATL,614,1
2548.00,AA,American Airlines Inc.,CLT,AUS,699,1
2548.00,AS,Alaska Airlines Inc.,IAH,SEA,888,1
2548.00,DL,Delta Air Lines Inc.,MSP,DFW,698,1
2548.00,WN,Southwest Airlines Co.,LAX,ABQ,614,1
2549.00,DL,Delta Air Lines Inc.,LGA,BOS,614,1
2550.00,WN,Southwest Airlines Co.,DAL,CLT,614,1
2551.00,WN,Southwest Airlines Co.,ATL,STL,612,1
2552.00,9E,Endeavor Air Inc.,MSP,ATW,629,1
2552.00,DL,Delta Air Lines Inc.,SLC,MSY,614,1
2552.00,UA,United Air Lines Inc.,MCO,IAH,634,1
2552.00,WN,Southwest Airlines Co.,OKC,LAS,614,1
2553.00,F9,Frontier Airlines Inc.,DEN,IAH,699,1
2554.00,AA,American Airlines Inc.,CLT,MIA,698,1
2554.00,OO,SkyWest Airlines Inc.,STL,DTW,638,1
2554.00,WN,Southwest Airlines Co.,BNA,JAX,614,1
2555.00,NK,Spirit Air Lines,OAK,LAS,698,1
2555.00,NK,Spirit Air Lines,STX,FLL,694,1
2556.00,AA,American Airlines Inc.,DFW,ABQ,694,1
2556.00,G4,Allegiant Air,FLL,CVG,694,1
2556.00,NK,Spirit Air Lines,MSY,BWI,694,1
2556.00,NK,Spirit Air Lines,SDF,LAS,694,1
2557.00,AA,American Airlines Inc.,STL,MIA,698,1
2557.00,DL,Delta Air Lines Inc.,BZN,SLC,694,1
2558.00,F9,Frontier Airlines Inc.,MCO,SJU,722,1
2558.00,WN,Southwest Airlines Co.,STL,SAN,614,1
2559.00,AA,American Airlines Inc.,SAN,PHX,614,1
2559.00,AS,Alaska Airlines Inc.,SFO,SEA,839,1
2559.00,G7,GoJet Airlines LLC d/b/a United Express,STL,EWR,530,1
2559.00,NK,Spirit Air Lines,DTW,PHX,722,1
2559.00,UA,United Air Lines Inc.,CLE,DEN,839,1
2559.00,UA,United Air Lines Inc.,ORD,DEN,614,1
2560.00,9E,Endeavor Air Inc.,ATW,MSP,629,1
2560.00,B6,JetBlue Airways,FLL,ATL,678,1
2560.00,QX,Horizon Air,BOI,SEA,673,1
2561.00,DL,Delta Air Lines Inc.,RSW,BOS,614,1
2561.00,UA,United Air Lines Inc.,SFO,MIA,839,1
2561.00,WN,Southwest Airlines Co.,PHX,OMA,614,1
2562.00,UA,United Air Lines Inc.,EWR,ATL,838,1
2562.00,WN,Southwest Airlines Co.,GRR,MDW,614,1
2562.00,WN,Southwest Airlines Co.,SEA,SMF,612,1
